2019-03-19 22:21:11.696640 : Step: 8500/111690, accuracy: 0.906015, cls loss: 0.322164, bbox loss: 0.062750,Landmark loss :0.070174,L2 loss: 0.017173, Total Loss: 0.405799 ,lr:0.001000 
2019-03-19 22:21:25.898918 : Step: 8600/111690, accuracy: 0.938406, cls loss: 0.304882, bbox loss: 0.080162,Landmark loss :0.060477,L2 loss: 0.017166, Total Loss: 0.392368 ,lr:0.001000 
2019-03-19 22:21:39.865526 : Step: 8700/111690, accuracy: 0.914062, cls loss: 0.264638, bbox loss: 0.069002,Landmark loss :0.060764,L2 loss: 0.017178, Total Loss: 0.346698 ,lr:0.001000 
2019-03-19 22:21:53.298901 : Step: 8800/111690, accuracy: 0.922509, cls loss: 0.266961, bbox loss: 0.074992,Landmark loss :0.048103,L2 loss: 0.017188, Total Loss: 0.345696 ,lr:0.001000 
2019-03-19 22:22:07.258393 : Step: 8900/111690, accuracy: 0.919414, cls loss: 0.279862, bbox loss: 0.070392,Landmark loss :0.044284,L2 loss: 0.017197, Total Loss: 0.354396 ,lr:0.001000 
2019-03-19 22:22:21.005480 : Step: 9000/111690, accuracy: 0.940476, cls loss: 0.249569, bbox loss: 0.072847,Landmark loss :0.054360,L2 loss: 0.017195, Total Loss: 0.330368 ,lr:0.001000 
2019-03-19 22:22:34.560412 : Step: 9100/111690, accuracy: 0.920755, cls loss: 0.305753, bbox loss: 0.077966,Landmark loss :0.070890,L2 loss: 0.017199, Total Loss: 0.397381 ,lr:0.001000 
2019-03-19 22:22:48.200695 : Step: 9200/111690, accuracy: 0.892989, cls loss: 0.357101, bbox loss: 0.072664,Landmark loss :0.057939,L2 loss: 0.017196, Total Loss: 0.439599 ,lr:0.001000 
2019-03-19 22:23:02.255359 : Step: 9300/111690, accuracy: 0.911032, cls loss: 0.309537, bbox loss: 0.065247,Landmark loss :0.083262,L2 loss: 0.017202, Total Loss: 0.400994 ,lr:0.001000 
2019-03-19 22:23:16.440366 : Step: 9400/111690, accuracy: 0.932836, cls loss: 0.302108, bbox loss: 0.064512,Landmark loss :0.047362,L2 loss: 0.017206, Total Loss: 0.375251 ,lr:0.001000 
2019-03-19 22:23:30.545756 : Step: 9500/111690, accuracy: 0.915709, cls loss: 0.299196, bbox loss: 0.082277,Landmark loss :0.045656,L2 loss: 0.017200, Total Loss: 0.380362 ,lr:0.001000 
2019-03-19 22:23:43.860132 : Step: 9600/111690, accuracy: 0.929630, cls loss: 0.283908, bbox loss: 0.065064,Landmark loss :0.046698,L2 loss: 0.017199, Total Loss: 0.356988 ,lr:0.001000 
2019-03-19 22:23:57.197657 : Step: 9700/111690, accuracy: 0.900794, cls loss: 0.381293, bbox loss: 0.073854,Landmark loss :0.047840,L2 loss: 0.017205, Total Loss: 0.459346 ,lr:0.001000 
2019-03-19 22:24:11.011300 : Step: 9800/111690, accuracy: 0.917293, cls loss: 0.311081, bbox loss: 0.064560,Landmark loss :0.051078,L2 loss: 0.017205, Total Loss: 0.386106 ,lr:0.001000 
2019-03-19 22:24:25.112799 : Step: 9900/111690, accuracy: 0.941606, cls loss: 0.258004, bbox loss: 0.080089,Landmark loss :0.051408,L2 loss: 0.017205, Total Loss: 0.340957 ,lr:0.001000 
2019-03-19 22:24:39.214645 : Step: 10000/111690, accuracy: 0.901515, cls loss: 0.305658, bbox loss: 0.073387,Landmark loss :0.050779,L2 loss: 0.017201, Total Loss: 0.384942 ,lr:0.001000 
2019-03-19 22:24:53.226370 : Step: 10100/111690, accuracy: 0.924138, cls loss: 0.249318, bbox loss: 0.074663,Landmark loss :0.049428,L2 loss: 0.017207, Total Loss: 0.328570 ,lr:0.001000 
2019-03-19 22:25:08.038466 : Step: 10200/111690, accuracy: 0.921933, cls loss: 0.250125, bbox loss: 0.078920,Landmark loss :0.069125,L2 loss: 0.017223, Total Loss: 0.341370 ,lr:0.001000 
