2019-04-06 13:11:25.713062 : Step: 9400/93580, accuracy: 0.937500, cls loss: 0.220061, bbox loss: 0.073573,Landmark loss :0.023447,L2 loss: 0.047304, Total Loss: 0.327598 ,lr:0.001000 
2019-04-06 13:18:13.289323 : Step: 9500/93580, accuracy: 0.957031, cls loss: 0.147302, bbox loss: 0.076459,Landmark loss :0.026013,L2 loss: 0.047276, Total Loss: 0.258821 ,lr:0.001000 
2019-04-06 13:24:59.769902 : Step: 9600/93580, accuracy: 0.957031, cls loss: 0.180878, bbox loss: 0.068800,Landmark loss :0.025080,L2 loss: 0.047243, Total Loss: 0.287601 ,lr:0.001000 
2019-04-06 13:31:59.259761 : Step: 9700/93580, accuracy: 0.953125, cls loss: 0.126308, bbox loss: 0.057416,Landmark loss :0.020936,L2 loss: 0.047211, Total Loss: 0.223163 ,lr:0.001000 
2019-04-06 13:38:58.575480 : Step: 9800/93580, accuracy: 0.968750, cls loss: 0.140363, bbox loss: 0.066556,Landmark loss :0.024494,L2 loss: 0.047187, Total Loss: 0.245323 ,lr:0.001000 
2019-04-06 13:45:57.518434 : Step: 9900/93580, accuracy: 0.949219, cls loss: 0.192787, bbox loss: 0.069395,Landmark loss :0.020435,L2 loss: 0.047153, Total Loss: 0.295073 ,lr:0.001000 
2019-04-06 13:52:55.743605 : Step: 10000/93580, accuracy: 0.957031, cls loss: 0.141789, bbox loss: 0.078475,Landmark loss :0.024880,L2 loss: 0.047129, Total Loss: 0.253036 ,lr:0.001000 
2019-04-06 13:59:54.617656 : Step: 10100/93580, accuracy: 0.921875, cls loss: 0.210346, bbox loss: 0.069999,Landmark loss :0.023163,L2 loss: 0.047099, Total Loss: 0.315608 ,lr:0.001000 
2019-04-06 14:06:53.571347 : Step: 10200/93580, accuracy: 0.976562, cls loss: 0.106240, bbox loss: 0.073523,Landmark loss :0.022895,L2 loss: 0.047073, Total Loss: 0.212969 ,lr:0.001000 
2019-04-06 14:13:52.793193 : Step: 10300/93580, accuracy: 0.945312, cls loss: 0.161967, bbox loss: 0.066842,Landmark loss :0.022361,L2 loss: 0.047046, Total Loss: 0.264795 ,lr:0.001000 
2019-04-06 14:20:52.297102 : Step: 10400/93580, accuracy: 0.964844, cls loss: 0.150083, bbox loss: 0.057835,Landmark loss :0.019526,L2 loss: 0.047015, Total Loss: 0.245542 ,lr:0.001000 
2019-04-06 14:27:51.848271 : Step: 10500/93580, accuracy: 0.957031, cls loss: 0.140847, bbox loss: 0.063505,Landmark loss :0.019649,L2 loss: 0.046986, Total Loss: 0.239234 ,lr:0.001000 
2019-04-06 14:34:50.920873 : Step: 10600/93580, accuracy: 0.964844, cls loss: 0.154354, bbox loss: 0.077201,Landmark loss :0.019335,L2 loss: 0.046957, Total Loss: 0.259246 ,lr:0.001000 
2019-04-06 14:41:50.664919 : Step: 10700/93580, accuracy: 0.968750, cls loss: 0.116501, bbox loss: 0.062960,Landmark loss :0.019224,L2 loss: 0.046924, Total Loss: 0.214129 ,lr:0.001000 
2019-04-06 14:48:49.716237 : Step: 10800/93580, accuracy: 0.968750, cls loss: 0.119341, bbox loss: 0.078492,Landmark loss :0.018327,L2 loss: 0.046893, Total Loss: 0.223806 ,lr:0.001000 
2019-04-06 14:55:48.329830 : Step: 10900/93580, accuracy: 0.949219, cls loss: 0.170541, bbox loss: 0.067109,Landmark loss :0.021441,L2 loss: 0.046865, Total Loss: 0.272402 ,lr:0.001000 
2019-04-06 15:02:46.794383 : Step: 11000/93580, accuracy: 0.976562, cls loss: 0.090021, bbox loss: 0.070806,Landmark loss :0.024709,L2 loss: 0.046833, Total Loss: 0.196966 ,lr:0.001000 
2019-04-06 15:09:46.315123 : Step: 11100/93580, accuracy: 0.949219, cls loss: 0.204169, bbox loss: 0.062137,Landmark loss :0.022982,L2 loss: 0.046806, Total Loss: 0.305026 ,lr:0.001000 
2019-04-06 15:16:45.327659 : Step: 11200/93580, accuracy: 0.964844, cls loss: 0.121918, bbox loss: 0.055264,Landmark loss :0.019245,L2 loss: 0.046776, Total Loss: 0.215571 ,lr:0.001000 
2019-04-06 15:23:44.568648 : Step: 11300/93580, accuracy: 0.953125, cls loss: 0.150641, bbox loss: 0.076554,Landmark loss :0.021217,L2 loss: 0.046740, Total Loss: 0.256874 ,lr:0.001000 
2019-04-06 15:30:44.145672 : Step: 11400/93580, accuracy: 0.972656, cls loss: 0.135483, bbox loss: 0.071472,Landmark loss :0.016409,L2 loss: 0.046709, Total Loss: 0.234337 ,lr:0.001000 
2019-04-06 15:37:43.598745 : Step: 11500/93580, accuracy: 0.988281, cls loss: 0.071004, bbox loss: 0.088022,Landmark loss :0.018557,L2 loss: 0.046681, Total Loss: 0.180253 ,lr:0.001000 
2019-04-06 15:44:43.708626 : Step: 11600/93580, accuracy: 0.949219, cls loss: 0.228720, bbox loss: 0.071493,Landmark loss :0.020618,L2 loss: 0.046647, Total Loss: 0.331732 ,lr:0.001000 
2019-04-06 15:51:48.425241 : Step: 11700/93580, accuracy: 0.953125, cls loss: 0.166702, bbox loss: 0.078882,Landmark loss :0.017751,L2 loss: 0.046616, Total Loss: 0.270509 ,lr:0.001000 
2019-04-06 15:58:51.042020 : Step: 11800/93580, accuracy: 0.968750, cls loss: 0.142654, bbox loss: 0.097031,Landmark loss :0.020862,L2 loss: 0.046591, Total Loss: 0.258622 ,lr:0.001000 
