2019-03-24 21:29:35.168148 : Step: 6700/106546, accuracy: 0.917969, cls loss: 0.254363, bbox loss: 0.092790,Landmark loss :0.038552,L2 loss: 0.024755, Total Loss: 0.344789 ,lr:0.001000 
2019-03-24 21:31:20.377514 : Step: 6800/106546, accuracy: 0.914062, cls loss: 0.296555, bbox loss: 0.098526,Landmark loss :0.043189,L2 loss: 0.024763, Total Loss: 0.392175 ,lr:0.001000 
2019-03-24 21:33:05.677490 : Step: 6900/106546, accuracy: 0.910156, cls loss: 0.351531, bbox loss: 0.080481,Landmark loss :0.048534,L2 loss: 0.024775, Total Loss: 0.440814 ,lr:0.001000 
2019-03-24 21:34:49.940199 : Step: 7000/106546, accuracy: 0.921875, cls loss: 0.267398, bbox loss: 0.098786,Landmark loss :0.036131,L2 loss: 0.024779, Total Loss: 0.359635 ,lr:0.001000 
2019-03-24 21:36:20.021515 : Step: 7100/106546, accuracy: 0.882812, cls loss: 0.383171, bbox loss: 0.105124,Landmark loss :0.045974,L2 loss: 0.024797, Total Loss: 0.483518 ,lr:0.001000 
2019-03-24 21:37:33.001538 : Step: 7200/106546, accuracy: 0.925781, cls loss: 0.310291, bbox loss: 0.085808,Landmark loss :0.039509,L2 loss: 0.024807, Total Loss: 0.397757 ,lr:0.001000 
2019-03-24 21:38:46.796185 : Step: 7300/106546, accuracy: 0.957031, cls loss: 0.232691, bbox loss: 0.095184,Landmark loss :0.038034,L2 loss: 0.024818, Total Loss: 0.324118 ,lr:0.001000 
2019-03-24 21:40:00.400454 : Step: 7400/106546, accuracy: 0.921875, cls loss: 0.264127, bbox loss: 0.091591,Landmark loss :0.046051,L2 loss: 0.024824, Total Loss: 0.357772 ,lr:0.001000 
2019-03-24 21:41:13.461913 : Step: 7500/106546, accuracy: 0.921875, cls loss: 0.311087, bbox loss: 0.087178,Landmark loss :0.042157,L2 loss: 0.024835, Total Loss: 0.400589 ,lr:0.001000 
2019-03-24 21:42:26.795853 : Step: 7600/106546, accuracy: 0.945312, cls loss: 0.213968, bbox loss: 0.087699,Landmark loss :0.043112,L2 loss: 0.024841, Total Loss: 0.304214 ,lr:0.001000 
2019-03-24 21:43:40.082496 : Step: 7700/106546, accuracy: 0.902344, cls loss: 0.356204, bbox loss: 0.088740,Landmark loss :0.040652,L2 loss: 0.024849, Total Loss: 0.445749 ,lr:0.001000 
2019-03-24 21:44:52.847058 : Step: 7800/106546, accuracy: 0.894531, cls loss: 0.306459, bbox loss: 0.081747,Landmark loss :0.036749,L2 loss: 0.024859, Total Loss: 0.390566 ,lr:0.001000 
2019-03-24 21:46:06.255649 : Step: 7900/106546, accuracy: 0.925781, cls loss: 0.315710, bbox loss: 0.084082,Landmark loss :0.046774,L2 loss: 0.024865, Total Loss: 0.406003 ,lr:0.001000 
2019-03-24 21:47:19.645514 : Step: 8000/106546, accuracy: 0.890625, cls loss: 0.369476, bbox loss: 0.091623,Landmark loss :0.037411,L2 loss: 0.024878, Total Loss: 0.458871 ,lr:0.001000 
2019-03-24 21:48:32.187731 : Step: 8100/106546, accuracy: 0.929688, cls loss: 0.317080, bbox loss: 0.085785,Landmark loss :0.040749,L2 loss: 0.024885, Total Loss: 0.405232 ,lr:0.001000 
2019-03-24 21:49:44.899211 : Step: 8200/106546, accuracy: 0.890625, cls loss: 0.383545, bbox loss: 0.090032,Landmark loss :0.046817,L2 loss: 0.024889, Total Loss: 0.476859 ,lr:0.001000 
2019-03-24 21:50:57.728864 : Step: 8300/106546, accuracy: 0.914062, cls loss: 0.313631, bbox loss: 0.083934,Landmark loss :0.043179,L2 loss: 0.024892, Total Loss: 0.402078 ,lr:0.001000 
2019-03-24 21:52:10.471592 : Step: 8400/106546, accuracy: 0.917969, cls loss: 0.296300, bbox loss: 0.089868,Landmark loss :0.040771,L2 loss: 0.024901, Total Loss: 0.386520 ,lr:0.001000 
2019-03-24 21:53:23.411075 : Step: 8500/106546, accuracy: 0.914062, cls loss: 0.301617, bbox loss: 0.094441,Landmark loss :0.043280,L2 loss: 0.024905, Total Loss: 0.395383 ,lr:0.001000 
2019-03-24 21:54:36.136852 : Step: 8600/106546, accuracy: 0.914062, cls loss: 0.313885, bbox loss: 0.085382,Landmark loss :0.035282,L2 loss: 0.024909, Total Loss: 0.399126 ,lr:0.001000 
2019-03-24 21:55:49.391358 : Step: 8700/106546, accuracy: 0.925781, cls loss: 0.319663, bbox loss: 0.091590,Landmark loss :0.031900,L2 loss: 0.024918, Total Loss: 0.406326 ,lr:0.001000 
2019-03-24 21:57:02.354037 : Step: 8800/106546, accuracy: 0.925781, cls loss: 0.277927, bbox loss: 0.085688,Landmark loss :0.039300,L2 loss: 0.024923, Total Loss: 0.365344 ,lr:0.001000 
2019-03-24 21:58:15.025196 : Step: 8900/106546, accuracy: 0.929688, cls loss: 0.256589, bbox loss: 0.086076,Landmark loss :0.034869,L2 loss: 0.024928, Total Loss: 0.341989 ,lr:0.001000 
2019-03-24 21:59:27.927758 : Step: 9000/106546, accuracy: 0.902344, cls loss: 0.335015, bbox loss: 0.092634,Landmark loss :0.037540,L2 loss: 0.024930, Total Loss: 0.425032 ,lr:0.001000 
2019-03-24 22:00:40.961830 : Step: 9100/106546, accuracy: 0.933594, cls loss: 0.233450, bbox loss: 0.083221,Landmark loss :0.040009,L2 loss: 0.024939, Total Loss: 0.320004 ,lr:0.001000 
2019-03-24 22:01:53.773047 : Step: 9200/106546, accuracy: 0.917969, cls loss: 0.262912, bbox loss: 0.090194,Landmark loss :0.042148,L2 loss: 0.024942, Total Loss: 0.354025 ,lr:0.001000 
2019-03-24 22:03:06.673700 : Step: 9300/106546, accuracy: 0.949219, cls loss: 0.237926, bbox loss: 0.072379,Landmark loss :0.033814,L2 loss: 0.024951, Total Loss: 0.315973 ,lr:0.001000 
2019-03-24 22:04:19.375567 : Step: 9400/106546, accuracy: 0.921875, cls loss: 0.327409, bbox loss: 0.081290,Landmark loss :0.030961,L2 loss: 0.024965, Total Loss: 0.408500 ,lr:0.001000 
2019-03-24 22:05:32.067883 : Step: 9500/106546, accuracy: 0.937500, cls loss: 0.301020, bbox loss: 0.092199,Landmark loss :0.031721,L2 loss: 0.024974, Total Loss: 0.387953 ,lr:0.001000 
2019-03-24 22:06:45.098808 : Step: 9600/106546, accuracy: 0.906250, cls loss: 0.298533, bbox loss: 0.095339,Landmark loss :0.033595,L2 loss: 0.024978, Total Loss: 0.387978 ,lr:0.001000 
path prefix is :../data/MTCNN_model/RNet_Landmark/RNet-2
2019-03-24 22:07:57.695480 : Step: 9700/106546, accuracy: 0.902344, cls loss: 0.323125, bbox loss: 0.075785,Landmark loss :0.035975,L2 loss: 0.024977, Total Loss: 0.403982 ,lr:0.001000 
2019-03-24 22:09:09.978373 : Step: 9800/106546, accuracy: 0.910156, cls loss: 0.287368, bbox loss: 0.075709,Landmark loss :0.030064,L2 loss: 0.024980, Total Loss: 0.365235 ,lr:0.001000 
2019-03-24 22:10:22.777153 : Step: 9900/106546, accuracy: 0.933594, cls loss: 0.261937, bbox loss: 0.080396,Landmark loss :0.036520,L2 loss: 0.024984, Total Loss: 0.345380 ,lr:0.001000 
2019-03-24 22:11:35.228766 : Step: 10000/106546, accuracy: 0.921875, cls loss: 0.255871, bbox loss: 0.086500,Landmark loss :0.034783,L2 loss: 0.024992, Total Loss: 0.341504 ,lr:0.001000 
2019-03-24 22:12:47.569968 : Step: 10100/106546, accuracy: 0.890625, cls loss: 0.337681, bbox loss: 0.096638,Landmark loss :0.038102,L2 loss: 0.024996, Total Loss: 0.430047 ,lr:0.001000 
2019-03-24 22:14:00.248028 : Step: 10200/106546, accuracy: 0.921875, cls loss: 0.297844, bbox loss: 0.085588,Landmark loss :0.038927,L2 loss: 0.024996, Total Loss: 0.385098 ,lr:0.001000 
2019-03-24 22:15:12.726556 : Step: 10300/106546, accuracy: 0.937500, cls loss: 0.266096, bbox loss: 0.081795,Landmark loss :0.029139,L2 loss: 0.024996, Total Loss: 0.346559 ,lr:0.001000 
2019-03-24 22:16:25.132853 : Step: 10400/106546, accuracy: 0.914062, cls loss: 0.337466, bbox loss: 0.077869,Landmark loss :0.036326,L2 loss: 0.024993, Total Loss: 0.419556 ,lr:0.001000 
2019-03-24 22:17:37.430485 : Step: 10500/106546, accuracy: 0.925781, cls loss: 0.231583, bbox loss: 0.080557,Landmark loss :0.034536,L2 loss: 0.025005, Total Loss: 0.314134 ,lr:0.001000 
2019-03-24 22:18:50.052980 : Step: 10600/106546, accuracy: 0.945312, cls loss: 0.214514, bbox loss: 0.098912,Landmark loss :0.036915,L2 loss: 0.025006, Total Loss: 0.307433 ,lr:0.001000 
2019-03-24 22:20:06.138907 : Step: 10700/106546, accuracy: 0.933594, cls loss: 0.275212, bbox loss: 0.082812,Landmark loss :0.037505,L2 loss: 0.025006, Total Loss: 0.360377 ,lr:0.001000 
2019-03-24 22:21:28.665871 : Step: 10800/106546, accuracy: 0.929688, cls loss: 0.281178, bbox loss: 0.077386,Landmark loss :0.039764,L2 loss: 0.025007, Total Loss: 0.364761 ,lr:0.001000 
2019-03-24 22:22:43.364300 : Step: 10900/106546, accuracy: 0.917969, cls loss: 0.286504, bbox loss: 0.088594,Landmark loss :0.032136,L2 loss: 0.025008, Total Loss: 0.371877 ,lr:0.001000 
2019-03-24 22:23:57.750953 : Step: 11000/106546, accuracy: 0.945312, cls loss: 0.230966, bbox loss: 0.084687,Landmark loss :0.042599,L2 loss: 0.025007, Total Loss: 0.319616 ,lr:0.001000 
2019-03-24 22:25:12.809281 : Step: 11100/106546, accuracy: 0.941406, cls loss: 0.254918, bbox loss: 0.079978,Landmark loss :0.045896,L2 loss: 0.025011, Total Loss: 0.342866 ,lr:0.001000 
2019-03-24 22:26:36.792757 : Step: 11200/106546, accuracy: 0.949219, cls loss: 0.231313, bbox loss: 0.087607,Landmark loss :0.031649,L2 loss: 0.025018, Total Loss: 0.315958 ,lr:0.001000 
2019-03-24 22:28:01.561633 : Step: 11300/106546, accuracy: 0.941406, cls loss: 0.227576, bbox loss: 0.094823,Landmark loss :0.031114,L2 loss: 0.025017, Total Loss: 0.315562 ,lr:0.001000 
2019-03-24 22:29:16.926738 : Step: 11400/106546, accuracy: 0.921875, cls loss: 0.305677, bbox loss: 0.075954,Landmark loss :0.031587,L2 loss: 0.025022, Total Loss: 0.384470 ,lr:0.001000 
2019-03-24 22:30:31.936602 : Step: 11500/106546, accuracy: 0.921875, cls loss: 0.330711, bbox loss: 0.090069,Landmark loss :0.038677,L2 loss: 0.025025, Total Loss: 0.420108 ,lr:0.001000 
2019-03-24 22:31:46.555170 : Step: 11600/106546, accuracy: 0.941406, cls loss: 0.264094, bbox loss: 0.102868,Landmark loss :0.039131,L2 loss: 0.025025, Total Loss: 0.360119 ,lr:0.001000 
2019-03-24 22:33:01.110897 : Step: 11700/106546, accuracy: 0.902344, cls loss: 0.351878, bbox loss: 0.093686,Landmark loss :0.031574,L2 loss: 0.025028, Total Loss: 0.439536 ,lr:0.001000 
2019-03-24 22:34:16.514781 : Step: 11800/106546, accuracy: 0.925781, cls loss: 0.304761, bbox loss: 0.089707,Landmark loss :0.034915,L2 loss: 0.025025, Total Loss: 0.392097 ,lr:0.001000 
2019-03-24 22:35:31.199011 : Step: 11900/106546, accuracy: 0.937500, cls loss: 0.268378, bbox loss: 0.097271,Landmark loss :0.035440,L2 loss: 0.025031, Total Loss: 0.359765 ,lr:0.001000 
2019-03-24 22:36:45.912264 : Step: 12000/106546, accuracy: 0.968750, cls loss: 0.199081, bbox loss: 0.085932,Landmark loss :0.030432,L2 loss: 0.025034, Total Loss: 0.282297 ,lr:0.001000 
2019-03-24 22:38:00.732029 : Step: 12100/106546, accuracy: 0.914062, cls loss: 0.271365, bbox loss: 0.075179,Landmark loss :0.040744,L2 loss: 0.025037, Total Loss: 0.354363 ,lr:0.001000 
2019-03-24 22:39:18.682170 : Step: 12200/106546, accuracy: 0.953125, cls loss: 0.216391, bbox loss: 0.088555,Landmark loss :0.038437,L2 loss: 0.025043, Total Loss: 0.304929 ,lr:0.001000 
2019-03-24 22:40:34.916434 : Step: 12300/106546, accuracy: 0.925781, cls loss: 0.282946, bbox loss: 0.087966,Landmark loss :0.034914,L2 loss: 0.025044, Total Loss: 0.369430 ,lr:0.001000 
2019-03-24 22:41:50.227860 : Step: 12400/106546, accuracy: 0.898438, cls loss: 0.315343, bbox loss: 0.089001,Landmark loss :0.032339,L2 loss: 0.025040, Total Loss: 0.401053 ,lr:0.001000 
2019-03-24 22:43:09.032352 : Step: 12500/106546, accuracy: 0.949219, cls loss: 0.146174, bbox loss: 0.084686,Landmark loss :0.036565,L2 loss: 0.025037, Total Loss: 0.231836 ,lr:0.001000 
2019-03-24 22:44:23.460386 : Step: 12600/106546, accuracy: 0.941406, cls loss: 0.253377, bbox loss: 0.095268,Landmark loss :0.033660,L2 loss: 0.025031, Total Loss: 0.342872 ,lr:0.001000 
2019-03-24 22:45:38.135212 : Step: 12700/106546, accuracy: 0.929688, cls loss: 0.222673, bbox loss: 0.096226,Landmark loss :0.033516,L2 loss: 0.025032, Total Loss: 0.312575 ,lr:0.001000 
2019-03-24 22:46:54.354161 : Step: 12800/106546, accuracy: 0.949219, cls loss: 0.227684, bbox loss: 0.076589,Landmark loss :0.034761,L2 loss: 0.025034, Total Loss: 0.308393 ,lr:0.001000 
2019-03-24 22:48:09.280641 : Step: 12900/106546, accuracy: 0.941406, cls loss: 0.252003, bbox loss: 0.088320,Landmark loss :0.039845,L2 loss: 0.025034, Total Loss: 0.341120 ,lr:0.001000 
